time,voltage
-0.0025362456,331.052
-0.0025360456,328.653
-0.0025358456,329.852
-0.0025356456,329.452
-0.0025354456,329.452
-0.0025352456,330.652
-0.0025350456,330.652
-0.0025348456,330.252
-0.0025346456,329.452
-0.0025344456,329.852
-0.0025342456,330.652
-0.0025340456,329.053
-0.0025338456,331.052
-0.0025336456,330.652
-0.0025334456,330.652
-0.0025332456,331.052
-0.0025330456,331.452
-0.0025328456,331.851
-0.0025326456,328.653
-0.0025324456,330.652
-0.0025322456,332.651
-0.0025320456,333.051
-0.0025318456,327.853
-0.0025316456,332.651
-0.0025314456,331.851
-0.0025312456,329.852
-0.0025310456,331.052
-0.0025308456,332.651
-0.0025306456,330.652
-0.0025304456,329.852
-0.0025302456,329.852
-0.0025300456,332.651
-0.0025298456,333.051
-0.0025296456,332.251
-0.0025294456,330.252
-0.0025292456,330.652
-0.0025290456,332.251
-0.0025288456,330.252
-0.0025286456,332.251
-0.0025284456,331.851
-0.0025282456,330.652
-0.0025280456,331.851
-0.0025278456,333.051
-0.0025276456,330.252
-0.0025274456,331.851
-0.0025272456,329.852
-0.0025270456,332.251
-0.0025268456,329.452
-0.0025266456,332.251
-0.0025264456,332.251
-0.0025262456,330.652
-0.0025260456,331.452
-0.0025258456,331.452
-0.0025256456,331.851
-0.0025254456,332.251
-0.0025252456,331.452
-0.0025250456,334.25
-0.0025248456,331.851
-0.0025246456,333.051
-0.0025244456,330.652
-0.0025242456,333.451
-0.0025240456,331.452
-0.0025238456,329.852
-0.0025236456,333.451
-0.0025234456,330.652
-0.0025232456,331.851
-0.0025230456,334.25
-0.0025228456,332.251
-0.0025226456,330.252
-0.0025224456,331.851
-0.0025222456,331.851
-0.0025220456,333.051
-0.0025218456,332.651
-0.0025216456,331.052
-0.0025214456,333.85
-0.0025212456,333.051
-0.0025210456,333.451
-0.0025208456,332.251
-0.0025206456,333.451
-0.0025204456,333.051
-0.0025202456,333.051
-0.0025200456,335.05
-0.0025198456,331.851
-0.0025196456,334.25
-0.0025194456,331.851
-0.0025192456,333.85
-0.0025190456,333.85
-0.0025188456,333.85
-0.0025186456,334.25
-0.0025184456,333.451
